v1,v2,,,
ham,Lol I love this song﻿,,,
ham,Shakira﻿,,,
spam,Subscribe my channel  I RECORDING FIFA 15 GOALS WATCH NOW :D﻿,,,
ham,Wow...5 years<br />﻿,,,
spam,subscribe to me and I wil subscribe to you back﻿,,,
ham,You best singer﻿,,,
ham,5 years soon!﻿,,,
ham,Like﻿,,,
ham,Wanderfol is love or miusic﻿,,,
ham,waka waka﻿,,,
ham,BEST SONG EVER X3333333333﻿,,,
ham,"Very pleasant to hear, haha, good.﻿",,,
ham,love!!!!﻿,,,
ham,wow,,,
ham,Waka waka eh eh﻿,,,
ham,Cutie girl and beautiful song,,,
ham,Love you shkira﻿,,,
ham,"I believe that soccer promotes terrorism. Bad choice, Shakira.﻿",,,
ham,I loved this song when I was in my teenage years!﻿,,,
ham,Lip synch is terrible﻿,,,
ham,"Shakira is different :) She is so happy all the time and she is spending for Africa :)<br />She can dance , sing and she speaks 4 languages﻿",,,
spam,Gusttavo Lima Você não me conhece <br />Check out﻿,,,
ham,Best world cup offical song﻿,,,
ham,5 years ago damn ﻿,,,
ham,Very nice,,,
spam,"Help shakira&#39;s waka waka be the first song by a female artist to reach 1 billion views.<br />(dark horse is ahead by roughly 100 million more views, and roar has only 50 million more views)<br /><a href=""https://www.youtube.com/watch?v=pRpeEdMmmQ0"">https://www.youtube.com/watch?v=pRpeEdMmmQ0</a>﻿",,,
ham,like me﻿,,,
ham,SHAKIRA SONG WAKA WAKA﻿,,,
ham,So underrated better<br />Than  Katy perry :/ but in not saying Katy is bad but she has no meaning to her songs. Shakira has<br />Meaningful songs these are the songs which bring memories and vibe&#39;s. I will miss it.   <br />   ﻿,,,
ham,I love this song and expect the World Cup .﻿,,,
ham,Good times ...﻿,,,
ham,"It makes me happy instantly, and makes me forgot everything bad happening!﻿",,,
ham,Love this song so much! One of my faves! Xxx﻿,,,
ham,"Hi, nice song Shakira! (Sorry for bad Brazilian)﻿",,,
ham,BEST SONG! GO SHAKI :D﻿,,,
ham,THIS IS SHIT AND SOOOOO AUTOTUNED﻿,,,
ham,....I stil lisening this :)﻿,,,
ham,sexy shakira﻿,,,
ham,I love you Shakiria!!!!!!﻿,,,
ham,Me and my aunt love this song!!!!!﻿,,,
spam,I subscribed it<br />﻿,,,
spam,Check out this playlist on YouTube<br />﻿,,,
spam,Top three Shakira songs (my choice) <br /><br />1- Waka Waka (it&#39;s time for Africa)<br /><br />2- Can&#39;t remember to forget you <br /><br />3- Empire<br /><br />Like this comment if u like Shakira ﻿,,,
spam,Check out this video on YouTube:﻿,,,
spam,Check out this playlist on YouTube:Central ﻿,,,
spam,"If you could take time &amp; spare a min to read this, then thank you. <br /><br />Im a rapper, if we&#39;re gonna be honest theres thousands maybe even millions<br /><br />of those in the world but not too many with ambition, dedication &amp; passion.<br /><br />I don&#39;t have money for huge YouTube advertisements or incredible music videos<br /><br />so all im left with is comments to expose my music.<br /><br />If you could take a moment and give me a chance ill make you a believer<br /><br />I would love? nothing more than a loyal following on YouTube. For anyone who <br /><br />Reads this could you press the &quot;THUMBS UP&quot;  others will see it.<br /><br />Doing so will help me push closer to my dream :) Thank You﻿",,,
spam,please visit my channel﻿,,,
spam,Pleas subscribe my channel GamezZMTA﻿,,,
spam,Pleas subscribe my channel﻿,,,
spam,Pleas subscribe GamezZ MTA my channel<br />﻿,,,
spam,"cool song check out my animal trafficking petition.<br /><a href=""http://www.thepetitionsite.com/387/433/550/stop-animal-trafficking/?cid=headerClick"">http://www.thepetitionsite.com/387/433/550/stop-animal-trafficking/?cid=headerClick</a>﻿",,,
spam,Check out this video on YouTube: ﻿,,,
spam,Subscribe and Win a CAP<br />       ☆☆☆☆☆﻿,,,
spam,Check out this playlist on YouTube:﻿,,,
spam,Hey guys love this but check out this girl name cause she knows how to dance so search up ej ba dancing.﻿,,,
spam,"if you want to win money at hopme click here <a href=""https://www.paidverts.com/ref/sihaam01"">https://www.paidverts.com/ref/sihaam01</a> it&#39;s work 100/100﻿",,,
spam,i am from Brazil please subscribe my channel love you all﻿,,,
spam,Could Spanish people understand this?<br /><br />Any way&#39;s I how you doing subscribe to me I brake things<br /><br />-_-﻿,,,
spam,PLEASSSSSSSSSSSSSSSS SUBSCRIBEEEEEEEEEE MY CHANNNNNNELLL PLZZ﻿,,,
spam,Check out this video on YouTube:﻿,,,
spam,"New way to make money easily and spending 20 minutes daily --&gt; <a href=""https://www.paidverts.com/ref/Marius1533"">https://www.paidverts.com/ref/Marius1533</a>﻿",,,
spam,There are beautiful songs please subscribe﻿,,,
spam,Can this channel get 500+ subscribers? You can make that happen :D﻿,,,
spam,"I really love watching football and also I’ve started off making income with out financial risk from acquiring bonus deals. It’s this weird technique where you wager on something with one bookmakers and bet against it on Betfair. You secure the bonus as income . A chap named Jim Vanstone is finding the wagers free on his own website Vanstone Secrets (Google it!). I’ve made about 500 quid thus far. And it is cost-free. I guess the bookies pay him to obtain new consumers, yet this actually works.",,,
spam,and how many subscribers compared to her over a million,,,
spam,"I absolutely adore watching football plus I’ve started earning income with out risk from claiming bonus deals. It’s a weird technique where you put money on something with one bookmakers and put money against it on Betfair. You acquire the bonus as income . A lad named Jim Vanstone is selecting the wagers free on his website Vanstone Secrets (Google it!). I have generated about 600 quid so far. And it’s free. I assume the bookmakers pay him to get new men and women, but it succeeds.",,,
spam,hahahahah ♥♥♥♥ :D like vines ?  Subscribe to me for daily vines,,,
spam,"Hi there, have you heard about DribbleProShot? Just do a search on Google. On their web site you can watch a smart free video featuring the best way to significantly boost your football aka soccer skills in no time... It turned Nick into a much better football or soccer player...His team mates were definitily amazed! I hope it will help you also...",,,
spam,"Hey, have you tried &quot;DribblePROshot&quot; yet? Just do a search on Google. On their website you will find a useful free video demonstrating the right way to enormously improve your soccer or football skills in no time... It transformed Fausto into a substantially better football/soccer player...to the amazement of his team mates. Hopefully it works for you too.",,,
spam,"Still amazing this song!! I did a French Kpop Parody. Please come on my Channel to watch it. Share, suscribe, comment Thanks",,,
spam, subscribe to my feed,,,
spam,:D subscribe to me for daily vines,,,
spam,"Hey guys whats up? I found this app that lets you get free gift card vouchers like psn cards,X-box live cards and even amazon gift cards. For free! All you have to do is  simply just download the app from the app store. It is called juno wallet. All you have to do is just sign up for the app and then complete a few surveys or just download some other free apps and you get money like 10 cents. Also, if you type in the code IM2458444. You will also start off with $0.25 free!! ",,,
spam,"You guys should check out this EXTRAORDINARY website called FIREPA.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at FIREPA.COM !   Visit FIREPA.COM and check it out!   Lake   . Duzafizz . Singlewave . Spourmo . Burder . Colorful . Claster . Incandescent . Ambitious . Winooze . Absorbing . Macabre . Crestboot . Boxium . Womanly . Tan . Ybuwyn . Forgetful . Pepelexa . Zealous",,,
spam,Waka Waka!:D   Check out my new HALLOWEEN VIDEO!:),,,
spam,we are 14 year old boys we are trying to enter in the music industry Maybe we are just a dreamers but we are not the? only one. Please give us one chance to prove ourself to you. we know these things are annoying as hell we are sorry? about that. But we do anything to get music heard. Please visit our channel subscribe if you like and thumb this comment up so everyone can see we have made a song called: I Wanna Play A Game please take a look on our channel Thankss!!!,,,
spam, plz i wilsubscribe me frndzzl subscribe u back,,,
spam,"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!  Why does the fragile swim enlist the person? How does the ice audit the frequent son? The fantastic chance describes the rate.",,,
spam,SUBSCRIBE ME AND I REQUITE,,,
spam,"Stop Wasting Up Your Time and  Get Paid To Mess Around On Facebook And Twitter!  GET PAID UPTO $25 to $35 AN HOUR... Only at 4NetJobs.com  Work from the Comfort of your Home... We are Currently Hiring People from all Over the World,  For a Wide Range of Social Media Jobs on Sites such as Facebook,Twitter and YouTube.  You don&#39;t Need any Prior Skills or Experience and You can Begin Work Immediately!  You Can Easily Make $4000 to $5000+ Monthly Income…Only at 4NetJobs.com",,,
spam,I love this!!!!! This is one of my fave songs now and I just subscribed :) :) :),,,
spam,"You guys should check out this EXTRAORDINARY website called ZONEPA.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at ZONEPA.COM !   Visit Zonepa.com and check it out!  Why does the statement conciliate the acidic stretch? The earth recognizes the money. When does the numberless number transport the trade?",,,
spam,How To Make A Lot Of Money Fast,,,
spam,visit &quot; ww estiloproduction com &quot; best website to make money,,,
spam,Message :   GTA V  $20  FIFA 14 $15  PS4  $200  Galaxy S4 mini $250  Ipad 4   $200  visit the site hh.nl,,,
spam,"Stop Wasting Up Your Time and  Get Paid To Mess Around On Facebook And Twitter!  GET PAID UPTO $25 to $35 AN HOUR... Only at 4NetJobs.com  Work from the Comfort of your Home... We are Currently Hiring People from all Over the World,  For a Wide Range of Social Media Jobs on Sites such as Facebook,Twitter and YouTube.  You don&#39;t Need any Prior Skills or Experience and You can Begin Work Immediately!  You Can Easily Make $4000 to $5000+ Monthly Income…Only at 4NetJobs.com",,,
spam,Being paid to respond to fast paid surveys from home has enabled me to give up working and make more than 4500 bucks monthly.  To read more go to this web site bit.ly\1bSefQe,,,
spam,"Hello Guys...I Found a Way to Make Money Online You Can Get Paid To Mess Around On Facebook And Twitter! GET PAID UPTO $25 to $35 AN HOUR...Only at 4NetJobs.com Work from the Comfort of your Home... They are Currently Hiring People from all Over the World, For a Wide Range of Social Media Jobs on Sites such as Facebook,Twitter and YouTube You don&#39;t Need any Prior Skills or Experience and You can Begin Work Immediately! You Can Easily Make $4000 to $5000+ Monthly Income…Only at 4NetJobs.com",,,
spam,"You guys should check out this EXTRAORDINARY website called ZONEPA.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at ZONEPA.COM ! Visit Zonepa.com and check it out! The meat discusss the successful memory. How does the peaceful unit arbitrate the guide? The addition designs the worried loss.",,,
spam,"You guys should check out this EXTRAORDINARY website called ZONEPA.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at ZONEPA.COM ! Visit Zonepa.com and check it out! How does the mother approve the axiomatic insurance? The fear appoints the roll. When does the space prepare the historical shame?",,,
spam,"You guys should check out this EXTRAORDINARY website called ZONEPA.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at ZONEPA.COM ! Visit Zonepa.com and check it out! The plausible summer submits the behavior. When does the grass check the peaceful seat? The country strategizes the edge.",,,
spam,Check out my channel :),,,
spam,subscribe  my,,,
spam,"Hello Guys...I Found a Way to Make Money Online You Can Get Paid To Mess Around On Facebook And Twitter! GET PAID UPTO $25 to $35 AN HOUR...Only at 4NetJobs.com Work from the Comfort of your Home... They are Currently Hiring People from all Over the World, For a Wide Range of Social Media Jobs on Sites such as Facebook,Twitter and YouTube You don&#39;t Need any Prior Skills or Experience and You can Begin Work Immediately! You Can Easily Make $4000 to $5000+ Monthly Income…Only at 4NetJobs.com",,,
spam,Please visit this Website: oldchat.tk,,,
spam,Please visit this Website: oldchat.tk,,,
spam,"Hello everyone my name&#39;s Anderson and i&#39;m a singer. not expecting to buy subscribers with words BUT to gain them with my voice. I might not be the best but my voice is different (in a good way) and i&#39;ll work harder than anyone out there to get better, &#39;cuz &quot;yeah&quot; i have a dream  a HUGE one, (who doesn&#39;t?) so please take 3 minutes of your time to check out my covers. Give me a chance you won&#39;t regret it If you feel like subscribing that&#39;d be awesome and it&#39;d mean the world to me THANK YOU SO MUCH",,,
spam,Check Out Daneja Good Girl,,,
spam,"Hello Guys...I Found a Way to Make Money Online You Can Get Paid To Mess Around On Facebook And Twitter! GET PAID UPTO $25 to $35 AN HOUR...Only at 4NetJobs.com Work from the Comfort of your Home... They are Currently Hiring People from all Over the World, For a Wide Range of Social Media Jobs on Sites such as Facebook,Twitter and YouTube You don&#39;t Need any Prior Skills or Experience and You can Begin Work Immediately! You Can Easily Make $4000 to $5000+ Monthly Income…Only at 4NetJobs.com",,,
spam,Subscribe to my Youtube Channel!! :) Suscribite a mi canal de Youtube -WhatUKnow,,,
spam,Check out my bass cover of hips don&#39;t lie by shakira!,,,
spam,Subscribe to my channel :)  &lt;3,,,
spam,The britishs called that soccer but you know the true word is football and the US Foot is called rugby. That works like that in EUW ( Germany/ Netherland/ France/ Portugal/ Belgium/ Spain/ ... ) Just because the Britishs don&#39;t agree to be like us because they are UNIQUE. That&#39;s the reason why they also refused to have euro (€) as money,,,
spam,subscribe now!!!!!! love the song!!!!!! love football!!!,,,
ham,so beutiful,,,
ham,so beutiful,,,
ham,She&#39;s so pretty,,,
ham,I like,,,
ham,She is perfect,,,
spam,1 753 682 421 GANGNAM STYLE ^^,,,
ham,Your a fucking bitch,,,
ham,this song is racist,,,
ham,Where are Shakifans?,,,
ham,like!!!!!,,,
ham,I want new song,,,
ham,Shakira is perfect,,,
ham,Shakira :-*,,,
ham,I remember this :D,,,
ham,Waka waka,,,
ham,This makes me miss the world cup,,,
ham,best song eva,,,
ham,I love it,,,
spam,"Believe that Jesus Christ is your savior for all your sins. If you truly believe in Jesus Christ to be your savior for all your sins then you will go to Heaven. If you believe in Jesus Christ then you are saved and you are in salvation and you have gained God’s righteousness. It matters not how much you have sinned in the past, in the present and especially in the future. Believe that Jesus Christ is your savior and you will go to Heaven forever and that is the whole truth. Spread the truth. ",,,
spam,"  Perhaps you have seen the newest Miley Cyrus SECRET video ?   She&#39;s sucking an old man&#39;s cock ,  If you wish to see her , check out the celebrity website beneath :   miley-secret-video.co.uk ",,,
spam,"  Haha , Miley Cyrus has done it once again  Today someone leeched a porno video with her on a celeb site   I believe the website link is : miley-celeb-news.co.uk in case you want to view it.... ",,,
spam," I really can&#39;t comprehend Miley Cyrus , she actually is a high profile and she tapes herself banging Today a video was leeched with her sucking and fucking The video has been posted at the celebrity website under :  miley-celeb-news.co.uk ",,,
ham,her voice is so wow!,,,
ham,Shakira :-*,,,
ham,:),,,
ham,wow,,,
ham,I love you,,,
ham,i like and love so much people all friends..... I love Shakira ^^,,,
ham,:),,,
ham,Shakira I love you,,,
ham,beautiful,,,
ham,Shakira is very beautiful,,,
ham,She is good,,,
ham,God she is so hot,,,
ham,She is perfect! &lt;3,,,
ham,Wow,,,
ham,Shakira voice sound spanish but that is what make the music sound amazing ♥I LOVE IT,,,
spam,CHECK OUT DANEJA GOOD GIRL,,,
spam,Check out my covers please!,,,
spam,"Hey Music Fans I really appreciate any of you who will take the time to read this, and check my music out! I&#39;m just a 15 year old boy DREAMING of being a successful MUSICIAN in the music world. I do lots of covers, and piano covers. But I don&#39;t have money to advertise. A simple thumbs up to my comment, a comment on my videos or a SUBSCRIPTION would be a step forward! It will only be a few seconds of your life that you won&#39;t regret!!! Thank u to all the people who just give me a chance! :) ",,,
spam,"Echa un vistazo a la remezcla! / Check out the remix!  MILEY CYRUS - WRECKING BALL (THE HOUSE OF EDM REMIX)  MILEY CYRUS - WRECKING BALL (VINCENT T. REMIX)  ...click, enlace, suscríbase! / ...click, link, subscribe!",,,
spam,Hey check out our new musicvideo &#39;&#39;Life&#39;s a celebration&#39;&#39; Peace !,,,
spam,Hi. Check out and share our songs.,,,
spam,Subscribe &amp; Like /watch?v=5tu9gN1l310,,,
spam,/watch?v=Dtqcftr1Fac JUSTIEN BIEBER CAR 2013. LIKE&amp;SUBSCRIBE,,,
spam,check out our bands page on youtube killtheclockhd - check out some of our original songs including &quot;your disguise&quot;,,,
spam,HI! CHECK OUT OUR AWESOME COVERS! AND SAY WHAT YOU THINK!,,,
spam,"I hope everyone is in good spirits I&#39;m a hard working student who&#39;s also a passionate singer I look foward to the day when I can make my own music to share But for now I&#39;ve just been doing covers. Check out my channel, I&#39;ve done Covers of Miley Cyrus, Imagine Dragons, Lana Del Rey, Drake, Macklemore, Pink and countless others.  Subscribe only if you want to. My goal isn&#39;t to become famous but to  inspire FYI this isn&#39;t spamming, everyone has a right to freedom of speech. Thanks ",,,
spam,please visit our web: wellcomemd.blogfa.com,,,
spam,PLEASE CHECK OUT MY VIDEO CALLED &quot;WE LOVE MIND MASTER IT&quot; THANKS,,,
ham,She is perfect,,,
spam,ｈｔｔｐ://ｗｗｗ.ｅｂａｙ.ｃｏｍ/ｕｓｒ/ｓｈｏｅｃｏｌｌｅｃｔｏｒ314,,,
ham,Beautiful song beautiful girl it works,,,
ham,Shakira :-*,,,
ham,OMG LOVE THIS!,,,
ham,Ouf Ouf OUFFFFFFFFFFFFFFFFFF!!!!!!!! :),,,
ham,awesome,,,
ham,cool,,,
ham,This Song will never get old,,,
ham,I always have goose bumps at that part,,,
ham,Love it,,,
ham,I love this song,,,
ham,"I want to see Shakira, not football :)",,,
ham,good!!,,,
spam,Recommend:  Apple iPad 4th Gen 32GB Unlocked Wi-Fi+4G 9.7in White Price:$390  Apple iPhone 5 (Latest Model) - 32GB - Black Price:$385  Samsung Galaxy S4 S IV 4 with 16GB New White Price:$360  Sony 60-inch 3D LED HDTV Price:$510  All-in-One PCs: Apple MacBook Pro: Apple MacBook Air Price:$320  Camera :Nikon D90 SLR Camera /18-55mm /55-200mm 32GB  Price:$390   Ultrabooks: SONY VAIO Pro 13 Intel Core i5 4GB 128GB Price:$515  +++++++++++++++    Purchase online Website is:  Taaee.com,,,
spam,&quot;HELP THE HUMANITY WITH YOUR SIGN IN TO THIS LINK WITH YOUR WHOLEHEARTED SUPPORT IF YOU SAY &quot;NO&quot; TO DISCRIMINATION. “UNITED WE STAND “  WE WILL BRING THE CHANGE TOGETHER.  IMPOSSIBLE ITSELF SAYS I  M  POSSIBLE&quot;  YOU ARE THE WINNERS OF MY SUCCESS!CHEERS TO ALL MY LOVING BROTHERS AND SISTERS !  PLEASE SHARE THIS LINK ON FACEBOOK TO SUPPORT AGAINST DISCRIMINATION.  tinyurl(dot)com(slash)mxh2y77  FEAR NONE BUT GOD !!!,,,
spam,"Part 5. Comforter of the afflicted, pray for us Help of Christians, pray for us Queen of Angels, pray for us Queen of Patriarchs, pray for us Queen of Prophets, pray for us Queen of Apostles, pray for us Queen of Martyrs, pray for us Queen of Confessors, pray for us Queen of Virgins, pray for us Queen of all Saints, pray for us Queen conceived without original sin, pray for us Queen of the most holy Rosary, pray for us Queen of the family, pray for us Queen of peace, pray for us ",,,
spam,"Part 2. Holy Mary, pray for us Holy Mother of God, pray for us Holy Virgin of virgins, pray for us Mother of Christ, pray for us Mother of divine grace, pray for us Mother most pure, pray for us Mother most chaste, pray for us Mother inviolate, pray for us Mother undefiled, pray for us Mother most amiable, pray for us Mother most admirable, pray for us Mother of good counsel, pray for us Mother of our Creator, pray for us Mother of our Redeemer, pray for us ",,,
spam,Hi.. Everyone.. If anyone after real online work. I can help u. Earn lots of money. It&#39;s fun. It&#39;s real and affiliated company.. U not think u r working. It&#39;s easy and enjoyable. For more info contact me .. Neeru105@ gmail.com,,,
ham,Nice song ^_^,,,
ham,god she is so sexy! drives me crazy!,,,
ham,WOw,,,
ham,shakira is the best!,,,
ham,Nice,,,
ham,Shakira,,,
ham,Shakira :-*,,,
ham,the best!,,,
spam,"Hey Youtubers and All Music lover&#39;s, Guess most of you all skip these comments, but for you who is still reading this, thanks ! I dont have any money for advertisiments, no chance of getting heard, nothing. All that&#39;s left is spam, sorry. Im 17, Rapper/Singer from Estonia. Please listen my new cover on my account. You wont regret it. Give me just a chance, please. Take half a second of your life and thumb this comment up. It will maybe change my life, for real. Thank you Wafence ",,,
spam,do you want to make some easy money? check out my page tvcmcadavid.weebly . com dont miss out on this opportunity give thumbs up i would  apprecitate it.,,,
spam,"PLEASE CHECK OUT THIS VIDEO CALLED &quot;WE LOVE MIND MASTER IT&quot;, THANK U :)",,,
spam,WAYS TO MAKE MONEY 50k Per Month Search google Now &gt;&gt; 9nl.me/make-money-without-investment-1,,,
spam,Meet The Richest Online Marketer  NOW CLICK : bit.ly/make-money-without-adroid,,,
spam,How did you know that people makes another account just for subscribing itself and liking??? :),,,
spam,:) I&#39;ll subscribe to you. You look Nice :),,,
spam,Hey dickwad - we&#39;re all africans. The colour of your skin just tells us something about how long ago your ancestors left Africa.   Check out Baba Brinkman - he has a song called &quot;I&#39;m A African&quot;   Go learn something.,,,
spam,WOW muslims are really egoistic..... 23% of the World population and not in this video or donating 1 dollar to the poor ones in Africa :( shame on those terrorist muslims,,,
spam,Wats Good Go Check Out My Music On Da Channel Ik Yall Got me,,,
spam,I Know Y&#39;all Can Check Out Amy Music Because Yall Got Me Go To Da Channel,,,
spam,Northland Paranormal Society is now on YouTube! Check out our channel of real Paranormal evidence!! facebook/ Northland Paranormal Society!!!,,,
